Gene	Direction	Type
CD8A	up	immunologic
CD8B	up	immunologic
CD4	up	immunologic
IFNG	up	immunologic
STAT1	up	immunologic
IL12A	up	immunologic
ITGB1	down	immunologic
ITGA5	down	immunologic
EGFR	down	immunologic
PTK2	down	immunologic
ERBB2	down	immunologic
GAS6	up	immunologic
BMP7	up	immunologic
DKK1	up	immunologic
IFNB1	up	immunologic
IDO1	up	immunologic
TGFB2	up	immunologic
DIRAS3	up	immunologic
VEGFA	down	angiogenic
VEGFB	down	angiogenic
KDR	down	angiogenic
CXCL8	down	angiogenic
CXCR1	down	angiogenic
CXCR2	down	angiogenic
THBS1	up	angiogenic
SPP1	down	angiogenic
CXCL9	up	angiogenic
CXCL10	up	angiogenic
ITGAV	down	angiogenic
COL18A1	up	angiogenic
ADGRB1	up	angiogenic
PLG	down	angiogenic
PLAUR	down	angiogenic
SERPINE1	up	angiogenic
HIF1A	up	angiogenic
