"","cosmic_genes","OR","P_value","P_adjust","LowerConfidenceInterval","UpperConfidenceInterval"
"13","APC",0.244250071712094,7.66522344858654e-15,2.5601846318279e-12,0.165726085540674,0.356104956112246
"52","CASP8",4.93333057439524,6.8796790952676e-05,0.00459562563563875,1.95153858875095,16.0045387241362
"93","DCC",0.438261062462824,0.000166108145979028,0.00693501509462441,0.279818014248025,0.683906686279619
"126","FAT4",0.518261475785107,5.30992003813974e-05,0.00443378323184668,0.373827692625513,0.718804013256852
"128","FBXW7",0.503472776329644,0.00128015975090886,0.0305409540573971,0.325433577983017,0.778538097787927
"131","FGFR3",0.287079176140273,0.000878965376897105,0.0244645363236361,0.123442591669798,0.632957571475956
"150","HRAS",5.46850572109736,0.000152502438236673,0.00693501509462441,1.96407033564404,21.1306113771175
"153","IDH1",0.316998214220011,0.0007162351221033,0.0219917664399763,0.149745424818784,0.647793977110594
"169","KDM6A",0.352056922563881,0.000516908357948189,0.0191830435060772,0.184251811547747,0.658968441745141
"177","KMT2D",0.504803727611078,0.000118251728637556,0.00658267956082394,0.353503691865471,0.720844793725035
"178","KRAS",0.322793857804099,1.32802893065394e-10,1.47853887612806e-08,0.223386983797747,0.463524598935772
"209","NCOA1",0.274909497260044,0.0011668241207164,0.029978404332252,0.113485582687763,0.625666693054654
"220","NRAS",0.277161371437583,0.00152869690005439,0.0340389843078778,0.108243412107298,0.661642921491036
"250","PRDM16",0.298039140080642,0.000724279733053112,0.0219917664399763,0.132793541367279,0.638919403130096
"307","TP53",0.52185854516053,6.52426683529739e-11,1.08955256149466e-08,0.427664077581261,0.636674486444046
